"funnel_step","step_name","platform","age_range","user_count"
"0","downloads","android","18-24","547"
"0","downloads","android","25-34","999"
"0","downloads","android","35-44","1509"
"0","downloads","android","45-54","546"
"0","downloads","android","","3334"
"0","downloads","ios","18-24","1118"
"0","downloads","ios","25-34","2117"
"0","downloads","ios","35-44","3134"
"0","downloads","ios","45-54","1099"
"0","downloads","ios","","6822"
"0","downloads","web","18-24","200"
"0","downloads","web","25-34","331"
"0","downloads","web","35-44","538"
"0","downloads","web","45-54","181"
"0","downloads","web","","1133"
