"funnel_step","step_name","platform","age_range","user_count","rides_count"
"3","rides_accepted","android","18-24","381","7584"
"3","rides_accepted","android","25-34","682","14157"
"3","rides_accepted","android","35-44","1065","21682"
"3","rides_accepted","android","45-54","367","7206"
"3","rides_accepted","android","","1085","22003"
"3","rides_accepted","ios","18-24","767","16174"
"3","rides_accepted","ios","25-34","1482","30352"
"3","rides_accepted","ios","35-44","2175","44387"
"3","rides_accepted","ios","45-54","776","15756"
"3","rides_accepted","ios","","2271","44498"
"3","rides_accepted","web","18-24","141","2849"
"3","rides_accepted","web","25-34","229","4370"
"3","rides_accepted","web","35-44","388","8061"
"3","rides_accepted","web","45-54","124","2274"
"3","rides_accepted","web","","345","7026"
