"funnel_step","step_name","platform","age_range","user_count","rides_count"
"2","rides_requested","android","18-24","387","11915"
"2","rides_requested","android","25-34","692","21556"
"2","rides_requested","android","35-44","1074","33420"
"2","rides_requested","android","45-54","375","11475"
"2","rides_requested","android","","1091","33951"
"2","rides_requested","ios","18-24","772","24306"
"2","rides_requested","ios","25-34","1503","46523"
"2","rides_requested","ios","35-44","2196","68557"
"2","rides_requested","ios","45-54","784","24392"
"2","rides_requested","ios","","2295","70915"
"2","rides_requested","web","18-24","141","4399"
"2","rides_requested","web","25-34","230","7157"
"2","rides_requested","web","35-44","392","12232"
"2","rides_requested","web","45-54","126","3816"
"2","rides_requested","web","","348","10863"
