"funnel_step","step_name","platform","age_range","user_count","rides_count"
"5","payment","android","18-24","191","6475"
"5","payment","android","25-34","356","12152"
"5","payment","android","35-44","544","18545"
"5","payment","android","45-54","182","6137"
"5","payment","android","","557","18914"
"5","payment","ios","18-24","408","14024"
"5","payment","ios","25-34","764","26068"
"5","payment","ios","35-44","1114","37974"
"5","payment","ios","45-54","394","13536"
"5","payment","ios","","1112","37785"
"5","payment","web","18-24","71","2423"
"5","payment","web","25-34","107","3680"
"5","payment","web","35-44","203","7002"
"5","payment","web","45-54","54","1856"
"5","payment","web","","176","6057"
