"funnel_step","step_name","platform","age_range","user_count","rides_count"
"4","rides_completed","android","18-24","191","6790"
"4","rides_completed","android","25-34","356","12807"
"4","rides_completed","android","35-44","544","19481"
"4","rides_completed","android","45-54","182","6474"
"4","rides_completed","android","","557","19879"
"4","rides_completed","ios","18-24","408","14717"
"4","rides_completed","ios","25-34","764","27430"
"4","rides_completed","ios","35-44","1114","40025"
"4","rides_completed","ios","45-54","394","14233"
"4","rides_completed","ios","","1112","39741"
"4","rides_completed","web","18-24","71","2539"
"4","rides_completed","web","25-34","107","3884"
"4","rides_completed","web","35-44","203","7347"
"4","rides_completed","web","45-54","54","1968"
"4","rides_completed","web","","176","6337"
